code,year,population,life_exp,health_expenditure
ARG,2004,38815915,74.871,1041.893
ARG,2005,39216787,75.231,1173.883
ARG,2006,39622113,75.279,1272.771
ARG,2007,40016766,74.783,1413.069
ARG,2008,40424149,75.428,1537.76
ARG,2009,40854832,75.577,1643.76
ARG,2010,41288694,75.68,1780.712
ARG,2011,41730655,76.1,1895.262
ARG,2012,42161718,75.802,1942.246
ARG,2013,42582454,75.829,1955.837
ARG,2014,43024072,76.268,1859.764
ARG,2015,43477009,76.6,1986.572
ARG,2016,43900312,76.105,1729.939
ARG,2017,44288898,76.543,2037.97
ARG,2018,44654876,76.77,1783.826
ARG,2019,44973468,76.847,1698.412
ARG,2020,45191960,75.878,1617.303
AUS,2000,19132473,79.621,2743.373
AUS,2001,19365437,80.006,2857.745
AUS,2002,19595357,80.052,2991.203
AUS,2003,19819450,80.44,3134.231
AUS,2004,20046680,80.733,3336.89
AUS,2005,20294490,81.092,3397.453
AUS,2006,20590565,81.258,3525.739
AUS,2007,20954545,81.232,3660.746
AUS,2008,21370595,81.427,3806.53
AUS,2009,21783014,81.728,3886.496
AUS,2010,22141583,82.013,4009.337
AUS,2011,22479778,82.091,4138.934
AUS,2012,22852649,82.297,4137.163
AUS,2013,23236271,82.551,4179.616
AUS,2014,23595599,82.518,4637.524
AUS,2015,23947998,82.605,4776.158
AUS,2016,24329961,82.801,4896.125
AUS,2017,24731044,82.718,4992.317
AUS,2018,25119700,83.258,5071.227
AUS,2019,25482714,83.241,5083.313
AUS,2020,25743787,83.664,5467.369
AUS,2021,25956416,83.564,5838.528
AUS,2022,26200987,82.766,5449.61
AUT,2000,8012929,78.235,3922.568
AUT,2001,8042232,78.718,3968.92
AUT,2002,8081638,78.846,4071.034
AUT,2003,8122605,78.849,4144.123
AUT,2004,8173494,79.362,4301.619
AUT,2005,8229204,79.52,4341.386
AUT,2006,8269902,79.965,4417.409
AUT,2007,8296949,80.166,4558.6
AUT,2008,8323250,80.363,4691.891
AUT,2009,8345072,80.206,4791.647
AUT,2010,8365087,80.463,4823.752
AUT,2011,8393272,80.828,4802.025
AUT,2012,8431598,80.841,4879.844
AUT,2013,8481411,81.078,4877.253
AUT,2014,8547812,81.39,4921.109
AUT,2015,8644037,81.159,4943.516
AUT,2016,8737920,81.592,4994.509
AUT,2017,8798780,81.639,5048.819
AUT,2018,8841652,81.686,5116.377
AUT,2019,8880875,81.907,5223.387
AUT,2020,8921402,81.804,5287.385
AUT,2021,8967053,81.82,5838.001
AUT,2022,9064679,81.296,5683.874
BEL,2000,10251719,77.768,3264.102
BEL,2001,10287004,78.082,3338.825
BEL,2002,10332978,78.168,3454.365
BEL,2003,10376260,78.32,3828.355
BEL,2004,10421298,78.96,4000.011
BEL,2005,10478883,79.053,3992.685
BEL,2006,10548446,79.389,4002.669
BEL,2007,10625490,79.528,4094.101
BEL,2008,10709710,79.579,4215.434
BEL,2009,10812936,79.849,4421.128
BEL,2010,10936620,80.04,4446.138
BEL,2011,11038627,80.366,4466.859
BEL,2012,11107524,80.26,4526.452
BEL,2013,11160277,80.467,4562.32
BEL,2014,11210111,81.08,4638.964
BEL,2015,11275332,80.889,4817.917
BEL,2016,11332704,81.265,4879.136
BEL,2017,11376583,81.362,4930.062
BEL,2018,11428609,81.481,4998.042
BEL,2019,11490622,81.835,5069.769
BEL,2020,11540103,80.798,4959.216
BEL,2021,11570842,81.659,5198.929
BEL,2022,11641813,81.159,5200.518
BRA,2000,174018276,69.584,953.336
BRA,2001,176301200,69.98,974.763
BRA,2002,178503483,70.396,1018.677
BRA,2003,180622688,70.884,956.411
BRA,2004,182675143,71.361,1002.265
BRA,2005,184688101,71.832,1008.382
BRA,2006,186653099,72.296,1072.588
BRA,2007,188552310,72.73,1126.021
BRA,2008,190367297,73.111,1150.926
BRA,2009,192079956,73.457,1196.338
BRA,2010,193701931,73.779,1220.171
BRA,2011,195284736,74.047,1239.974
BRA,2012,196876114,74.335,1244.551
BRA,2013,198478291,74.609,1299.913
BRA,2014,200085126,74.823,1357.322
BRA,2015,201675534,75.106,1360.799
BRA,2016,203218108,75.081,1334.801
BRA,2017,204703440,75.383,1385.726
