Original destination milepost,Original origin milepost,Post-calibration destination milepost ,Post-calibration origin milepost,Traffic Message Channel location codes,Truck Travel Time Reliability Index,Travel Time Index,Traffic Message Channel miles,Highway segment,Corridor number,Corridor name
0,0,0,0,,0,0,,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
0,0.02,0,0.023,,0,0,,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
1.22,3.53,1.209,3.489,105+05436,1.13,1.07,2.3,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
3.53,4.04,3.489,3.994,105P05435,1.11,1.05,0.51,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
4.04,6.16,3.994,6.115,105+05435,1.09,1.03,2.1,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
6.16,6.64,6.115,6.591,105P05434,1.07,1.03,0.48,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
6.64,7.54,6.591,7.491,105+05434,1.08,1.03,0.9,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
7.54,8.1,7.491,8.035,105P05433,1.07,1.03,0.55,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
8.1,11.32,8.035,11.106,105+05433,1.08,1.03,3.21,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
11.32,11.54,11.106,11.307,105P05432,1.09,1.05,0.22,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
11.54,20.98,11.307,20.724,105+05432,1.07,1.03,9.41,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
20.98,21.21,20.724,20.966,105P05431,1.06,1.02,0.46,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
21.21,21.44,20.966,21.202,105P05431,1.06,1.02,0.46,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
21.44,21.68,21.202,21.425,105+05431,1.06,1.03,0.23,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
21.68,22.04,21.425,21.764,105P05430,1.06,1.03,0.36,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
22.04,23.58,21.764,23.216,105+05430,1.06,1.02,1.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
23.58,24.06,23.216,23.66,105P05429,1.05,1.02,0.48,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
24.06,26.65,23.66,26.328,105+05429,1.04,1.02,2.59,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
26.65,27.22,26.328,26.95,105P05428,1.05,1.02,0.56,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
27.22,30.94,26.95,31.312,105+05428,1.05,1.02,3.74,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
30.94,31.44,31.312,31.718,105P05427,1.05,1.02,0.5,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
31.44,38,31.718,38.071,105+05427,1.04,1.02,6.53,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
38,38.47,38.071,38.523,105P05426,1.13,1.03,0.47,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
38.47,43.52,38.523,43.277,105+05426,1.07,1.02,5.02,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
43.52,44.18,43.277,43.907,105P05425,1.2,1.05,0.66,1_CA,1,CA/OR Border to I-5/SR-99 Interchange
