var,text
student,What student should get credit for this survey?
month_rent,What was your monthly rent or mortgage payment in December 2024 ($US)?
own,Do you rent or own your home?
live_years,How long have you lived in your home (years). please enter numerals only
likely_move,How likely are you to move in the next five years?
where_live,Where did you live in December 2024?
employ,What is your employment status?
gender,What is your gender?
race,What is your race? (chose all that apply)
income,What was your 2024 annual income?
age,What is your age (years)? please enter numerals only
hh,How many people live in your household? please enter numerals only
hh_earn,"How many members of your household earn an income, including yourself? please enter numerals only"
educ,What is your highest level of education
letters,How many letters are in your first name? please enter numerals only
