"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","17,013","7.8"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","23,601","(L)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","49,069","14.5"
"CENSUS","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","20,843","10.2"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","101,348","9.5"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","37,787","6.0"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","48,751","9.4"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","43,666","21.4"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","53,686","4.9"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","31,066","16.1"
"CENSUS","2022","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","63,499","10.5"
"CENSUS","2022","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","42,336","4.9"
"CENSUS","2022","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","28,134","1.8"
"CENSUS","2022","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","23,410","1.5"
"CENSUS","2022","YEAR","","STATE","IOWA","19","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","30,701","1.8"
"CENSUS","2022","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","39,525","2.3"
"CENSUS","2022","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","21,842","5.6"
"CENSUS","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","26,054","16.5"
"CENSUS","2022","YEAR","","STATE","MAINE","23","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","23,062","12.1"
"CENSUS","2022","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","34,886","4.3"
"CENSUS","2022","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","44,256","11.4"
"CENSUS","2022","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","23,853","8.4"
"CENSUS","2022","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","26,412","2.3"
"CENSUS","2022","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","25,771","5.1"
"CENSUS","2022","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","17,047","2.5"
"CENSUS","2022","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","41,532","11.1"
"CENSUS","2022","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","49,199","2.5"
"CENSUS","2022","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","70,670","11.7"
"CENSUS","2022","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","27,288","12.0"
"CENSUS","2022","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","35,804","7.8"
"CENSUS","2022","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","30,795","5.8"
"CENSUS","2022","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","33,147","5.8"
"CENSUS","2022","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","24,146","3.2"
"CENSUS","2022","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","59,280","2.2"
"CENSUS","2022","YEAR","","STATE","OHIO","39","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","17,768","2.6"
"CENSUS","2022","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","21,938","5.0"
"CENSUS","2022","YEAR","","STATE","OREGON","41","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","34,330","5.5"
"CENSUS","2022","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","27,613","3.2"
"CENSUS","2022","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","28,443","11.4"
"CENSUS","2022","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","27,343","5.9"
"CENSUS","2022","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","53,088","2.8"
"CENSUS","2022","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","14,708","4.4"
"CENSUS","2022","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","35,256","4.2"
"CENSUS","2022","YEAR","","STATE","UTAH","49","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","20,440","8.8"
"CENSUS","2022","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","25,135","6.3"
"CENSUS","2022","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","21,234","11.1"
"CENSUS","2022","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","48,891","4.5"
"CENSUS","2022","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","11,268","6.2"
"CENSUS","2022","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","15,392","4.8"
"CENSUS","2022","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","27,603","6.1"
"CENSUS","2017","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","10,800","4.7"
"CENSUS","2017","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","28,804","1.5"
"CENSUS","2017","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","49,785","17.2"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","16,257","10.6"
"CENSUS","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","66,671","6.0"
"CENSUS","2017","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","23,036","8.3"
"CENSUS","2017","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","36,390","27.3"
"CENSUS","2017","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","INCOME, FARM-RELATED","INCOME, FARM-RELATED - RECEIPTS, MEASURED IN $ / OPERATION","TOTAL","NOT SPECIFIED","20,419","10.2"
