"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","297","10.2"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","274","11.1"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","251","12.7"
"CENSUS","2022","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","90","6.0"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","53","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","107","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","24","(L)"
"CENSUS","2022","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","23","(L)"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","718","46.0"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","242","15.5"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","27","22.6"
"CENSUS","2022","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","85","20.9"
"CENSUS","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","175","24.4"
"CENSUS","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","1,020","6.4"
"CENSUS","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","444","7.3"
"CENSUS","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","195","14.4"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","601","9.8"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","237","11.0"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","49","13.9"
"CENSUS","2022","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","63","6.5"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","696","11.3"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","729","10.2"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","544","10.7"
"CENSUS","2022","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","79","5.5"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","61","9.6"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","21","9.9"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","29","9.8"
"CENSUS","2022","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","32","6.4"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","265","6.0"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","346","5.5"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","302","3.3"
"CENSUS","2022","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","238","6.4"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","325","27.8"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","155","11.5"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","95","10.8"
"CENSUS","2022","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","91","17.8"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","141","28.6"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","417","9.4"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, NO-TILL - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","186","21.9"
"CENSUS","2022","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CROPLAND, COVER CROP PLANTED, (EXCL CRP) - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","153","12.8"
"CENSUS","2022","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","PRACTICES","PRACTICES, LAND USE, CONSERVATION EASEMENT - AREA, MEASURED IN ACRES / OPERATION","TOTAL","NOT SPECIFIED","337","10.8"
